#options: 640x480 fps=12/1 timebase=1/12 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=12 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:11.84 aq:6.16 tex:618062 mv:48009 misc:161 imb:1200 pmb:0 smb:0 d:- ref:;
in:103 out:103 type:B dur:2 cpbdur:2 q:17.04 aq:14.59 tex:201020 mv:11176 misc:244 imb:12 pmb:997 smb:191 d:- ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:17.10 aq:16.29 tex:185302 mv:7144 misc:250 imb:13 pmb:990 smb:197 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:16.99 aq:15.79 tex:171313 mv:10466 misc:261 imb:23 pmb:981 smb:196 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:16.77 aq:14.09 tex:363784 mv:11972 misc:260 imb:341 pmb:686 smb:173 d:- ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:16.85 aq:14.70 tex:221418 mv:18127 misc:239 imb:189 pmb:835 smb:176 d:- ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:16.89 aq:15.52 tex:207744 mv:15743 misc:225 imb:95 pmb:920 smb:185 d:- ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:16.81 aq:15.77 tex:178865 mv:11335 misc:288 imb:29 pmb:987 smb:184 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:16.91 aq:13.17 tex:415663 mv:11380 misc:261 imb:389 pmb:648 smb:163 d:- ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:16.84 aq:14.58 tex:222643 mv:17658 misc:251 imb:139 pmb:890 smb:171 d:- ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:16.80 aq:15.46 tex:210156 mv:16585 misc:235 imb:78 pmb:949 smb:173 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:16.87 aq:16.04 tex:181427 mv:11003 misc:234 imb:13 pmb:1016 smb:171 d:- ref:0 ;
in:117 out:114 type:P dur:2 cpbdur:2 q:17.21 aq:14.35 tex:312127 mv:9359 misc:258 imb:195 pmb:838 smb:167 d:- ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:17.06 aq:14.72 tex:176584 mv:10326 misc:266 imb:15 pmb:1013 smb:172 d:- ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:16.98 aq:16.17 tex:144170 mv:7928 misc:278 imb:4 pmb:1016 smb:180 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:17.13 aq:16.29 tex:178147 mv:9509 misc:256 imb:11 pmb:1016 smb:173 d:- ref:0 ;
in:119 out:118 type:P dur:2 cpbdur:2 q:17.25 aq:16.44 tex:199853 mv:6448 misc:275 imb:38 pmb:991 smb:171 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:17.23 aq:16.44 tex:138063 mv:8390 misc:291 imb:9 pmb:1009 smb:182 d:- ref:0 ;
